title,tags
Iron Man,action adventure superhero marvel
The Avengers,action superhero marvel team
Captain America,action superhero patriotism marvel
Batman,action dark detective dc comics
Superman,superhero action flying alien dc
Sholay,bollywood action drama classic evergreen
Dilwale Dulhania Le Jayenge,romance bollywood evergreen drama
3 Idiots,comedy drama inspiration bollywood evergreen
Bahubali,action drama epic south-indian blockbuster
Dangal,sports drama bollywood inspiring
PK,comedy satire social-drama bollywood aamir-khan
Zindagi Na Milegi Dobara,travel friendship drama bollywood
Queen,women empowerment journey bollywood
Gully Boy,rap drama bollywood inspiration music
Lagaan,cricket period-drama bollywood sports
Andhadhun,thriller crime suspense bollywood
Drishyam,thriller suspense crime bollywood remake
Kahaani,thriller mystery bollywood suspense
War,action thriller bollywood blockbuster
Pathaan,action spy thriller bollywood recent
Jawan,action thriller bollywood recent blockbuster
Interstellar,sci-fi space drama nolan hollywood
Inception,sci-fi mind-bending thriller nolan hollywood
The Dark Knight,superhero thriller nolan batman dc
Tenet,sci-fi time-inversion nolan action
Oppenheimer,biography nolan history drama
Titanic,romance disaster classic hollywood
Avatar,sci-fi epic james-cameron blockbuster
The Godfather,crime drama classic mafia hollywood
Pulp Fiction,crime dark-comedy tarantino classic hollywood
Fight Club,psychological drama thriller hollywood
Forrest Gump,drama comedy inspiring classic hollywood
Gladiator,action historical drama classic hollywood
The Shawshank Redemption,drama prison inspiring classic hollywood
The Matrix,sci-fi action classic hollywood
John Wick,action assassin hollywood keanu-reeves
The Lion King,animation family drama disney classic
Frozen,animation musical disney kids
Moana,animation musical adventure disney
Toy Story,animation friendship pixar classic
Coco,animation family music pixar emotional
Encanto,animation music family disney recent
Barbie,comedy fantasy drama hollywood recent
Omkara,bollywood drama tragedy crime
Haider,bollywood drama tragedy kashmir adaptation
Gangs of Wasseypur,crime action drama bollywood cult
Rockstar,romance drama music bollywood
Barfi,romantic comedy drama bollywood
Yeh Jawaani Hai Deewani,romantic comedy travel drama bollywood
Tamasha,drama romance self-discovery bollywood
Ek Tha Tiger,action spy thriller bollywood blockbuster
Tiger Zinda Hai,action spy thriller sequel bollywood
Sultan,sports drama bollywood action
Chak De India,sports drama bollywood inspiring
Chennai Express,comedy action romance bollywood
Golmaal,comedy slapstick bollywood
Hera Pheri,comedy classic bollywood
Phir Hera Pheri,comedy sequel bollywood classic
Bhool Bhulaiyaa,horror comedy bollywood classic
Bhool Bhulaiyaa 2,horror comedy bollywood recent
Stree,horror comedy bollywood recent
Bhediya,horror comedy bollywood recent
Raazi,spy thriller drama bollywood
Article 15,social-drama crime bollywood
Pink,courtroom drama women-rights bollywood
Super 30,biopic education bollywood
MS Dhoni: The Untold Story,biopic sports bollywood
Kesari,war action drama bollywood
Uri: The Surgical Strike,war action patriotism bollywood
Border,war action patriotism classic bollywood
Lakshya,war drama inspiring bollywood
Mad Max: Fury Road,action adventure apocalyptic hollywood
The Revenant,adventure survival drama hollywood
Joker,drama psychological thriller hollywood
Spider-Man: No Way Home,superhero multiverse marvel recent
Doctor Strange,superhero magic multiverse marvel
Guardians of the Galaxy,superhero sci-fi marvel comedy
Black Panther,superhero action marvel cultural
Captain Marvel,superhero sci-fi marvel female-lead
Ant-Man,superhero comedy marvel
Deadpool,superhero comedy marvel r-rated
Logan,superhero drama action marvel wolverine
X-Men: Days of Future Past,superhero sci-fi action marvel
Fantastic Beasts,fantasy wizarding-world adventure
Harry Potter,fantasy magic adventure classic
The Hobbit,fantasy adventure prequel classic
Lord of the Rings,fantasy epic adventure classic
